World,"9,732,831","30,445","492,242","1,253","5,265,686","3,974,903","57,450","1,249",63,,,,
1,USA,"2,504,676",88,"126,785",5,"1,052,389","1,325,502","15,723","7,568",383,"30,733,966","92,859","330,975,810"
2,Brazil,"1,233,147",,"55,054",,"673,729","504,364","8,318","5,802",259,"2,859,064","13,452","212,537,568"
3,Russia,"620,794","6,800","8,781",176,"384,152","227,861","2,300","4,254",60,"18,402,719","126,103","145,933,767"
4,India,"491,741",571,"15,319",11,"285,983","190,439","8,944",356,11,"7,776,228","5,636","1,379,789,304"
5,UK,"307,980",,"43,230",,N/A,N/A,311,"4,537",637,"8,710,292","128,317","67,881,190"
6,Spain,"294,566",,"28,330",,N/A,N/A,617,"6,300",606,"5,162,909","110,426","46,754,577"
7,Peru,"268,602",,"8,761",,"156,074","103,767","1,144","8,148",266,"1,583,605","48,041","32,963,598"
8,Chile,"259,064",,"4,903",,"219,327","34,834","2,078","13,554",257,"1,025,081","53,631","19,113,705"
9,Italy,"239,706",,"34,678",,"186,725","18,303",103,"3,965",574,"5,163,154","85,394","60,462,730"
10,Iran,"215,096",,"10,130",,"175,103","29,863","2,899","2,561",121,"1,530,437","18,225","83,974,258"
11,Mexico,"202,951","6,104","25,060",736,"116,862","61,029",378,"1,574",194,"528,651","4,101","128,910,809"
12,Pakistan,"195,745","2,775","3,962",59,"84,168","107,615","2,765",887,18,"1,193,017","5,403","220,802,843"
13,Germany,"193,785",,"9,012",,"176,800","7,973",360,"2,313",108,"5,412,655","64,605","83,780,597"
14,Turkey,"193,115",,"5,046",,"165,706","22,363",941,"2,290",60,"3,135,424","37,183","84,324,246"
15,Saudi Arabia,"170,639",,"1,428",,"117,882","51,329","2,206","4,903",41,"1,479,759","42,517","34,803,660"
16,France,"161,348",,"29,752",,"75,351","56,245",651,"2,472",456,"1,384,633","21,213","65,271,779"
17,Bangladesh,"130,474","3,868","1,661",40,"53,133","75,680",1,792,10,"699,941","4,251","164,663,262"
18,South Africa,"118,375",,"2,292",,"59,974","56,109",539,"1,996",39,"1,460,012","24,623","59,295,764"
19,Canada,"102,622",,"8,504",,"65,425","28,693","2,077","2,719",225,"2,558,363","67,794","37,737,089"
20,Qatar,"91,838",,106,,"74,544","17,188",212,"32,708",38,"337,496","120,199","2,807,805"
21,China,"83,462",13,"4,634",,"78,439",389,8,58,3,"90,410,000","62,814","1,439,323,776"
22,Colombia,"80,599",,"2,654",,"33,349","44,596",335,"1,584",52,"670,093","13,172","50,874,063"
23,Sweden,"63,890",,"5,230",,N/A,N/A,193,"6,327",518,"444,607","44,028","10,098,382"
24,Egypt,"61,130",,"2,533",,"16,338","42,259",41,598,25,"135,000","1,320","102,294,701"
25,Belgium,"61,106",99,"9,731",5,"16,918","34,457",38,"5,273",840,"1,178,721","101,711","11,588,964"
26,Belarus,"60,382",,367,,"41,448","18,567",89,"6,390",39,"919,139","97,270","9,449,356"
27,Ecuador,"53,156",,"4,343",,"26,097","22,716",288,"3,014",246,"142,715","8,091","17,638,063"
28,Argentina,"52,457",,"1,150",,"14,788","36,519",457,"1,161",25,"309,601","6,851","45,189,339"
29,Indonesia,"51,427","1,240","2,683",63,"21,333","27,411",,188,10,"708,962","2,592","273,476,659"
30,Netherlands,"49,914",,"6,100",,N/A,N/A,48,"2,913",356,"570,699","33,307","17,134,417"
31,UAE,"46,563",,308,,"35,165","11,090",1,"4,709",31,"3,087,000","312,185","9,888,369"
32,Singapore,"42,955",219,26,,"36,604","6,325",1,"7,343",4,"684,359","116,991","5,849,659"
33,Kuwait,"42,788",,339,,"33,367","9,082",152,"10,022",79,"368,510","86,314","4,269,407"
34,Ukraine,"41,117","1,109","1,086",19,"18,299","21,732",378,940,25,"620,624","14,190","43,735,850"
35,Portugal,"40,415",,"1,549",,"26,382","12,484",67,"3,963",152,"1,102,066","108,078","10,196,990"
36,Iraq,"39,139",,"1,437",,"18,051","19,651",234,974,36,"488,803","12,159","40,202,198"
37,Oman,"36,034","1,132",153,9,"19,482","16,399",105,"7,061",30,"176,953","34,673","5,103,495"
38,Philippines,"34,073","1,004","1,224",12,"9,182","23,667",137,311,11,"647,804","5,913","109,555,334"
39,Poland,"33,395",276,"1,429",17,"19,218","12,748",77,882,38,"1,447,130","38,236","37,847,040"
40,Switzerland,"31,428",,"1,958",,"29,000",470,12,"3,632",226,"534,490","61,764","8,653,700"
41,Afghanistan,"30,451",276,683,8,"10,306","19,462",19,783,18,"69,558","1,788","38,908,595"
42,Dominican Republic,"29,141",,698,,"16,223","12,220",181,"2,687",64,"135,969","12,536","10,846,175"
43,Panama,"29,037",,564,,"14,800","13,673",130,"6,732",131,"117,266","27,186","4,313,482"
44,Bolivia,"28,503","1,016",913,37,"7,338","20,252",71,"2,442",78,"66,597","5,707","11,670,183"
45,Ireland,"25,405",,"1,727",,"23,364",314,9,"5,146",350,"411,335","83,319","4,936,874"
46,Romania,"25,286",,"1,565",,"17,906","5,815",199,"1,314",81,"663,558","34,491","19,238,670"
47,Bahrain,"24,081",,71,,"18,501","5,509",38,"14,167",42,"511,458","300,885","1,699,843"
48,Armenia,"23,247",759,410,13,"12,149","10,688",10,"7,845",138,"105,046","35,450","2,963,178"
49,Nigeria,"22,614",,549,,"7,822","14,243",7,110,3,"122,155",593,"206,018,227"
50,Israel,"22,400",,309,,"16,007","6,084",47,"2,435",34,"886,058","96,336","9,197,590"
51,Kazakhstan,"19,750",465,140,,"12,220","7,390",121,"1,052",7,"1,424,647","75,888","18,772,900"
52,Japan,"18,110",,968,,"16,320",822,58,143,8,"435,495","3,443","126,480,094"
53,Austria,"17,477",,698,,"16,320",459,11,"1,941",78,"590,442","65,563","9,005,691"
54,Guatemala,"15,619",800,623,22,"2,949","12,047",5,872,35,"31,427","1,755","17,908,815"
55,Ghana,"15,473",,95,,"11,431","3,947",6,498,3,"283,124","9,116","31,058,902"
56,Moldova,"15,453",,502,,"8,599","6,352",455,"3,831",124,"63,328","15,698","4,034,054"
57,Honduras,"15,366",795,426,9,"1,600","13,340",13,"1,552",43,"21,540","2,175","9,901,613"
58,Azerbaijan,"14,852",,180,,"8,059","6,613",66,"1,465",18,"449,235","44,313","10,137,767"
59,Serbia,"13,372",,264,,"12,154",954,24,"1,530",30,"366,380","41,931","8,737,685"
60,Denmark,"12,636",,603,,"11,460",573,9,"2,182",104,"981,082","169,387","5,791,944"
61,S. Korea,"12,602",39,282,,"11,172","1,148",15,246,6,"1,232,315","24,036","51,268,686"
62,Cameroon,"12,592",,313,,"10,100","2,179",52,475,12,,,"26,530,128"
63,Algeria,"12,445",,878,,"8,920","2,647",45,284,20,,,"43,835,093"
64,Morocco,"11,465",127,217,,"8,560","2,688",7,311,6,"602,362","16,323","36,903,169"
65,Nepal,"11,162",,26,,"2,650","8,486",,383,0.9,"487,600","16,741","29,126,271"
66,Czechia,"10,870",,345,,"7,649","2,876",13,"1,015",32,"532,987","49,771","10,708,746"
67,Sudan,"8,984",,556,,"3,806","4,622",,205,13,401,9,"43,825,738"
68,Norway,"8,788",,249,,"8,138",401,6,"1,621",46,"313,162","57,772","5,420,613"
69,Malaysia,"8,606",6,121,,"8,294",191,2,266,4,"716,178","22,132","32,358,787"
70,Ivory Coast,"8,334",,60,,"3,487","4,787",,316,2,"49,352","1,872","26,362,766"
71,Australia,"7,595",37,104,,"6,958",533,1,298,4,"2,274,081","89,197","25,494,924"
72,Uzbekistan,"7,228",51,20,,"4,877","2,331",26,216,0.6,"1,038,575","31,039","33,460,342"
73,Finland,"7,191",19,327,,"6,600",264,2,"1,298",59,"235,500","42,504","5,540,620"
74,DRC,"6,411",,142,,885,"5,384",,72,2,,,"89,488,318"
75,Senegal,"6,233",,94,,"4,162","1,977",24,372,6,"73,097","4,368","16,733,069"
76,Tajikistan,"5,691",,52,,"4,267","1,372",,597,5,,,"9,532,826"
77,North Macedonia,"5,595",,265,,"2,166","3,164",55,"2,686",127,"55,735","26,752","2,083,375"
78,Haiti,"5,543",114,96,4,512,"4,935",,486,8,"10,825",950,"11,400,155"
79,El Salvador,"5,517",181,133,7,"3,291","2,093",137,851,21,"152,729","23,548","6,485,766"
80,Kenya,"5,384",,132,,"1,857","3,395",7,100,2,"155,314","2,890","53,744,928"
81,Ethiopia,"5,175",,81,,"1,544","3,550",30,45,0.7,"232,050","2,020","114,895,969"
82,Guinea,"5,174",,29,,"3,861","1,284",24,394,2,"14,407","1,098","13,123,878"
83,Gabon,"5,087",,40,,"2,270","2,777",10,"2,287",18,"33,655","15,129","2,224,520"
84,Djibouti,"4,635",,52,,"4,269",314,,"4,693",53,"45,810","46,379","987,737"
85,Venezuela,"4,563",,39,,"1,327","3,197",9,160,1,"1,176,146","41,360","28,436,705"
86,Bulgaria,"4,408",,211,,"2,370","1,827",16,634,30,"128,293","18,463","6,948,822"
87,Kyrgyzstan,"4,204",250,43,,"2,162","1,999",30,645,7,"199,853","30,642","6,522,115"
88,Luxembourg,"4,151",,110,,"3,968",73,1,"6,633",176,"156,089","249,430","625,782"
89,Hungary,"4,127",4,578,1,"2,663",886,13,427,60,"267,056","27,644","9,660,587"
90,Bosnia and Herzegovina,"3,796",,175,,"2,322","1,299",4,"1,157",53,"87,418","26,644","3,280,979"
91,Mauritania,"3,739",,119,,"1,225","2,395",21,805,26,"13,842","2,979","4,646,655"
92,Greece,"3,321",,191,,"1,374","1,756",9,319,18,"295,639","28,363","10,423,486"
93,CAR,"3,244",,40,,607,"2,597",2,672,8,"22,267","4,612","4,828,105"
94,Thailand,"3,162",4,58,,"3,040",64,1,45,0.8,"468,175","6,708","69,797,852"
95,French Guiana,"3,033",,10,,"1,096","1,927",15,"10,161",34,"8,061","27,006","298,493"
96,Somalia,"2,878",,90,,868,"1,920",2,181,6,,,"15,881,934"
97,Costa Rica,"2,684",,12,,"1,227","1,445",6,527,2,"37,645","7,391","5,093,397"
98,Mayotte,"2,508",,32,,"2,218",258,8,"9,198",117,"8,800","32,275","272,661"
99,Croatia,"2,483",,107,,"2,149",227,,605,26,"74,657","18,185","4,105,466"
100,Cuba,"2,321",,85,,"2,171",65,1,205,8,"159,571","14,088","11,326,689"
101,Maldives,"2,277",,8,,"1,848",421,9,"4,214",15,"46,182","85,466","540,354"
102,Albania,"2,192",,49,,"1,250",893,14,762,17,"21,781","7,569","2,877,830"
103,Nicaragua,"2,170",,74,,"1,238",858,,328,11,,,"6,623,221"
104,Mali,"2,039",,113,,"1,383",543,,101,6,"10,932",540,"20,235,694"
105,Sri Lanka,"2,010",,11,,"1,602",397,1,94,0.5,"101,226","4,728","21,412,083"
106,Equatorial Guinea,"2,001",,32,,515,"1,454",,"1,428",23,"16,000","11,415","1,401,685"
107,Estonia,"1,986",2,69,,"1,797",120,1,"1,497",52,"104,299","78,626","1,326,525"
108,South Sudan,"1,942",,36,,224,"1,682",1,174,3,"10,226",914,"11,191,517"
109,Iceland,"1,830",,10,,"1,811",9,,"5,363",29,"70,072","205,362","341,212"
110,Madagascar,"1,829",,16,,823,990,26,66,0.6,"19,757",714,"27,673,751"
111,Lithuania,"1,808",2,78,,"1,501",229,16,664,29,"410,867","150,918","2,722,447"
112,Lebanon,"1,662",,33,,"1,144",485,6,243,5,"122,351","17,925","6,825,711"
113,Slovakia,"1,643",13,28,,"1,455",160,,301,5,"206,362","37,798","5,459,613"
114,Paraguay,"1,569",,13,,976,580,2,220,2,"62,384","8,748","7,131,038"
115,Slovenia,"1,558",11,109,,"1,376",73,2,749,52,"98,810","47,529","2,078,935"
116,Guinea-Bissau,"1,556",,19,,191,"1,346",5,791,10,"1,500",763,"1,966,925"
117,New Zealand,"1,520",1,22,,"1,484",14,,304,4,"378,257","75,620","5,002,100"
118,Palestine,"1,514",132,3,,446,"1,065",,297,0.6,"84,621","16,597","5,098,696"
119,Zambia,"1,497",,18,,"1,223",256,1,81,1,"52,195","2,841","18,370,818"
120,Sierra Leone,"1,354",,56,,869,429,,170,7,,,"7,973,519"
121,Hong Kong,"1,197",3,7,,"1,091",99,1,160,0.9,"321,498","42,889","7,496,070"
122,Tunisia,"1,162",,50,,"1,023",89,,98,4,"68,321","5,782","11,816,618"
123,Latvia,"1,112",1,30,,932,150,1,590,16,"145,086","76,915","1,886,313"
124,Congo,"1,087",,37,,456,594,,197,7,,,"5,514,873"
125,Jordan,"1,086",,9,,797,280,3,106,0.9,"355,004","34,799","10,201,523"
126,Yemen,"1,076",,288,,386,402,,36,10,120,4,"29,811,341"
127,Niger,"1,056",,67,,917,72,,44,3,"6,449",267,"24,180,266"
128,Benin,"1,017",,14,,288,715,2,84,1,"55,328","4,567","12,115,414"
129,Cabo Verde,"1,003",,8,,562,433,,"1,804",14,"1,560","2,806","555,888"
130,Cyprus,992,,19,,824,149,,822,16,"150,871","124,973","1,207,231"
131,Malawi,960,,12,,260,688,4,50,0.6,"11,536",603,"19,117,926"
132,Burkina Faso,934,,53,,826,55,,45,3,,,"20,888,832"
133,Georgia,919,2,14,,780,125,5,230,4,"98,486","24,688","3,989,243"
134,Uruguay,907,,26,,818,63,2,261,7,"61,608","17,736","3,473,578"
135,Chad,863,,74,,774,15,,53,5,,,"16,413,658"
136,Andorra,855,,52,,797,6,1,"11,066",673,"3,750","48,535","77,264"
137,Rwanda,850,,2,,385,463,,66,0.2,"126,284","9,756","12,944,591"
138,Uganda,833,12,,,761,72,,18,,"170,789","3,737","45,701,284"
139,Mozambique,788,,5,,221,562,,25,0.2,"26,204",839,"31,233,086"
140,Diamond Princess,712,,13,,651,48,4,,,,,
141,Sao Tome and Principe,711,,13,,214,484,,"3,245",59,"1,753","8,002","219,076"
142,Eswatini,706,,8,,347,351,5,609,7,"6,551","5,648","1,159,970"
143,San Marino,698,,42,,653,3,,"20,572","1,238","5,649","166,490","33,930"
144,Libya,698,,18,,140,540,,102,3,"23,075","3,359","6,869,629"
145,Jamaica,684,6,10,,526,148,,231,3,"22,712","7,670","2,960,998"
146,Liberia,681,,34,,278,369,,135,7,,,"5,054,940"
147,Malta,668,,9,,627,32,,"1,513",20,"91,571","207,395","441,529"
148,Togo,588,,14,,394,180,2,71,2,"28,911","3,494","8,274,257"
149,Channel Islands,571,,47,,512,12,,"3,285",270,"10,255","58,992","173,838"
150,Zimbabwe,551,,6,,128,417,,37,0.4,"65,111","4,382","14,858,964"
151,Réunion,516,,2,,460,54,4,576,2,"17,200","19,213","895,220"
152,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,690,357"
153,Taiwan,447,,7,,435,5,,19,0.3,"76,032","3,192","23,816,267"
154,Montenegro,424,10,9,,315,100,,675,14,"13,186","20,995","628,065"
155,Suriname,373,,10,,176,187,7,636,17,"1,165","1,986","586,551"
156,Vietnam,352,,,,329,23,1,4,,"275,000","2,826","97,325,070"
157,Mauritius,341,,10,,326,5,,268,8,"171,792","135,084","1,271,743"
158,Isle of Man,336,,24,,312,0,,"3,952",282,"6,158","72,424","85,027"
159,Myanmar,293,,6,,211,76,,5,0.1,"68,404","1,257","54,404,601"
160,Comoros,272,,7,,161,104,,313,8,,,"869,196"
161,Syria,242,,7,,96,139,,14,0.4,,,"17,490,673"
162,Martinique,236,,14,,98,124,,629,37,,,"375,268"
163,Mongolia,219,3,,,170,49,6,67,,"21,479","6,554","3,277,281"
164,Guyana,215,,12,,108,95,1,273,15,"2,355","2,994","786,502"
165,Angola,212,,10,,81,121,1,6,0.3,"10,000",305,"32,838,429"
166,Cayman Islands,196,,1,,184,11,,"2,983",15,"22,266","338,858","65,709"
167,Faeroe Islands,187,,,,187,0,,"3,827",,"12,558","257,015","48,861"
168,Gibraltar,176,,,,176,0,,"5,224",,"11,864","352,142","33,691"
169,Guadeloupe,174,,14,,157,3,,435,35,"6,900","17,245","400,123"
170,Bermuda,146,,9,,133,4,1,"2,344",145,"10,634","170,745","62,280"
171,Burundi,144,,1,,93,50,,12,0.08,382,32,"11,881,400"
172,Eritrea,144,,,,39,105,,41,,,,"3,545,541"
173,Brunei,141,,3,,138,0,,322,7,"27,802","63,560","437,413"
174,Cambodia,130,,,,127,3,1,8,,"33,812","2,023","16,714,817"
175,Trinidad and Tobago,123,,8,,109,6,,88,6,"4,543","3,246","1,399,431"
176,Namibia,105,3,,,21,84,1,41,,"8,014","3,155","2,539,977"
177,Bahamas,104,,11,,84,9,1,265,28,"2,366","6,018","393,185"
178,Monaco,102,,4,,95,3,,"2,600",102,"16,200","412,865","39,238"
179,Aruba,101,,3,,98,0,,946,28,"2,284","21,394","106,760"
180,Barbados,97,,7,,85,5,1,338,24,"7,530","26,203","287,371"
181,Botswana,92,,1,,25,66,1,39,0.4,"36,868","15,684","2,350,617"
182,Liechtenstein,82,,1,,81,0,,"2,151",26,900,"23,605","38,127"
183,Sint Maarten,77,,15,,62,0,,"1,796",350,477,"11,127","42,868"
184,Bhutan,70,,,,38,32,,91,,"23,988","31,094","771,468"
185,Antigua and Barbuda,65,,3,,22,40,1,664,31,680,"6,945","97,917"
186,French Polynesia,60,,,,60,0,,214,,"4,649","16,551","280,886"
187,Macao,46,1,,,45,1,,71,,,,"649,177"
188,Gambia,43,1,2,,26,15,,18,0.8,"2,035",843,"2,414,932"
189,Saint Martin,42,,3,,36,3,1,"1,087",78,685,"17,722","38,653"
190,St. Vincent Grenadines,29,,,,29,0,,261,,784,"7,067","110,936"
191,Timor-Leste,24,,,,24,0,,18,,"1,568","1,190","1,317,926"
192,Belize,23,,2,,17,4,,58,5,"2,043","5,140","397,482"
193,Curaçao,23,,1,,19,3,,140,6,"1,080","6,582","164,084"
194,Grenada,23,,,,23,0,,204,,"4,130","36,706","112,516"
195,New Caledonia,21,,,,21,0,,74,,"8,260","28,936","285,455"
196,Laos,19,,,,19,0,,3,,"14,161","1,947","7,273,630"
197,Saint Lucia,19,,,,19,0,,103,,"1,619","8,817","183,616"
198,Dominica,18,,,,18,0,,250,,623,"8,655","71,984"
199,Fiji,18,,,,18,0,,20,,"4,000","4,463","896,351"
200,Lesotho,17,,,,2,15,,8,,"3,000","1,401","2,141,996"
201,Turks and Caicos,16,1,1,,11,4,,413,26,444,"11,470","38,708"
202,Saint Kitts and Nevis,15,,,,15,0,,282,,447,"8,403","53,194"
203,Falkland Islands,13,,,,13,0,,"3,739",,"1,027","295,370","3,477"
204,Greenland,13,,,,13,0,,229,,"3,203","56,422","56,769"
205,Vatican City,12,,,,12,0,,"14,981",,,,801
206,Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992"
207,Seychelles,11,,,,11,0,,112,,,,"98,338"
208,Western Sahara,10,,1,,8,1,,17,2,,,"596,992"
209,Papua New Guinea,10,,,,8,2,,1,,"5,637",630,"8,943,530"
210,MS Zaandam,9,,2,,,7,,,,,,
211,British Virgin Islands,8,,1,,7,0,,265,33,212,"7,013","30,228"
212,Caribbean Netherlands,7,,,,7,0,,267,,424,"16,171","26,219"
213,St. Barth,6,,,,6,0,,607,,152,"15,389","9,877"
214,Anguilla,3,,,,3,0,,200,,180,"11,999","15,001"
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,794"
